depth_m;density_kgm3
0.01;379.51
0.02;379.51
0.03;379.51
0.04;379.51
0.05;379.51
0.06;379.51
0.07;379.51
0.08;379.51
0.09;379.51
0.1;379.51
0.11;379.51
0.12;379.51
0.13;379.51
0.14;379.51
0.15;379.51
0.16;379.51
0.17;379.51
0.18;379.51
0.19;379.51
0.2;379.51
0.21;379.51
0.22;379.51
0.23;379.51
0.24;379.51
0.25;379.51
0.26;379.51
0.27;379.51
0.28;379.51
0.29;379.51
0.3;379.51
0.31;379.51
0.32;379.51
0.33;379.51
0.34;379.51
0.35;379.51
0.36;379.51
0.37;379.51
0.38;379.51
0.39;379.51
0.4;379.51
0.41;379.51
0.42;379.51
0.43;379.51
0.44;379.51
0.45;379.51
0.46;379.51
0.47;379.51
0.48;379.51
0.49;379.51
0.5;379.51
0.51;379.51
0.52;379.51
0.53;379.51
0.54;379.51
0.55;379.51
0.56;379.51
0.57;379.51
0.58;379.51
0.59;379.51
0.6;379.51
0.61;379.51
0.62;379.51
0.63;379.51
0.64;379.51
0.65;379.51
0.66;379.51
0.67;379.51
0.68;379.51
0.69;379.51
0.7;379.51
0.71;379.51
0.72;379.51
0.73;379.51
0.74;379.51
0.75;379.51
0.76;379.51
0.77;379.51
0.78;379.51
0.79;379.51
0.8;379.51
0.81;379.51
0.82;379.51
0.83;379.51
0.84;379.51
0.85;379.51
0.86;379.51
0.87;379.51
0.88;379.51
0.89;379.51
0.9;379.51
0.91;379.51
0.92;379.51
0.93;379.51
0.94;379.51
0.95;379.51
0.96;379.51
0.97;379.51
0.98;379.51
0.99;448.73
1;448.73
1.01;448.73
1.02;448.73
1.03;448.73
1.04;448.73
1.05;448.73
1.06;448.73
1.07;448.73
1.08;448.73
1.09;448.73
1.1;448.73
1.11;448.73
1.12;448.73
1.13;448.73
1.14;448.73
1.15;448.73
1.16;448.73
1.17;448.73
1.18;448.73
1.19;448.73
1.2;448.73
1.21;448.73
1.22;448.73
1.23;448.73
1.24;448.73
1.25;448.73
1.26;448.73
1.27;448.73
1.28;448.73
1.29;448.73
1.3;448.73
1.31;448.73
1.32;448.73
1.33;448.73
1.34;448.73
1.35;448.73
1.36;448.73
1.37;448.73
1.38;448.73
1.39;448.73
1.4;448.73
1.41;448.73
1.42;448.73
1.43;448.73
1.44;448.73
1.45;448.73
1.46;448.73
1.47;448.73
1.48;448.73
1.49;448.73
1.5;448.73
1.51;448.73
1.52;448.73
1.53;448.73
1.54;448.73
1.55;448.73
1.56;448.73
1.57;448.73
1.58;448.73
1.59;448.73
1.6;448.73
1.61;448.73
1.62;448.73
